"drug","mean_intensity","std_error","p_val","adj_p_val"
"AICAR",45657.1756393383,NA,0.504144436276677,0.938788543929583
"AICAR + TUDCA",13422.5,NA,0.90667307707557,0.938788543929583
"DMSO control",45880.2897587719,16882.418679863,NA,NA
"Exendin-4",43224.6647032797,NA,0.548787491166864,0.938788543929583
"Fingolimod",44427.9659289146,NA,0.528024183903925,0.938788543929583
"MFGE8",144874.645550959,NA,0.157428951410392,0.938788543929583
"No cell/No drug + beads + DAPI",NA,NA,NA,NA
"No drug + beads + cells + DAPI",24774.9230819618,NA,0.80729831361756,0.938788543929583
"No drug/No beads/ + cells + DAPI",2198.6377662176,NA,0.938788543929583,0.938788543929583
"No drug/No beads/No DAPI + cells",3301.99119305332,NA,0.936127655402416,0.938788543929583
"TUDCA",11024.2317452385,NA,0.915007480707386,0.938788543929583
"Y-27632",61558.371828617,NA,0.24234129421069,0.938788543929583
